state,x,y
andhra pradesh,-126,-217
arunachal pradesh,340,223
assam,258,145
bihar,88,115
chhattisgarh,-30,-19
goa,-265,-196
gujarat,-344,53
haryana,-178,231
himachal pradesh,-160,320
jharkhand,63,49
karnataka,-238,-233
kerala,-201,-362
madhya pradesh,-177,38
maharashtra,-232,-81
manipur,318,99
meghalaya,245,116
mizoram,292,56
nagaland,338,141
odisha,37,-41
punjab,-212,283
rajasthan,-313,153
sikkim,162,178
tamil nadu,-151,-339
telangana,-127,-123
tripura,258,61
uttar pradesh,-95,170
uttarakhand,-95,261
west bengal,142,41
andaman and nicobar islands,305,-345
chandigarh,-163,282
dadra and nagar haveli and daman and diu,-348,-62
delhi,-158,217
jammu and kashmir,-216,381
ladakh,-149,410
lakshadweep,-323,-373
puducherry,-93,-311